"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45","[HTTP] Get account details. User with active debit card account","tests.suites.http","Sun Mar 08 16:39:38 UTC 2026","passed","Sun Mar 08 16:39:38 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","24","[gRPC] Get user details. User with active credit card account","tests.suites.grpc","Sun Mar 08 16:39:36 UTC 2026","passed","Sun Mar 08 16:39:37 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","557","[HTTP][Kafka] Operation events. In progress purchase operation","tests.suites.http","Sun Mar 08 16:39:38 UTC 2026","passed","Sun Mar 08 16:39:38 UTC 2026","TestOperationsHTTP","test_operations","",""
"","18","[gRPC] Get account details. User with active debit card account","tests.suites.grpc","Sun Mar 08 16:39:37 UTC 2026","passed","Sun Mar 08 16:39:37 UTC 2026","TestGatewayGRPC","test_gateway","",""
"","11","[gRPC][Postgres] Filter by account id. Completed purchase operation","tests.suites.grpc","Sun Mar 08 16:39:38 UTC 2026","passed","Sun Mar 08 16:39:38 UTC 2026","TestOperationsGRPC","test_operations","",""
"","515","[HTTP][Kafka] Operation events. Completed purchase operation","tests.suites.http","Sun Mar 08 16:39:38 UTC 2026","passed","Sun Mar 08 16:39:39 UTC 2026","TestOperationsHTTP","test_operations","",""
"","75","[HTTP] Get user details. User with active credit card account","tests.suites.http","Sun Mar 08 16:39:38 UTC 2026","passed","Sun Mar 08 16:39:38 UTC 2026","TestGatewayHTTP","test_gateway","",""
"","557","[gRPC][Kafka] Operation events. In progress purchase operation","tests.suites.grpc","Sun Mar 08 16:39:37 UTC 2026","passed","Sun Mar 08 16:39:37 UTC 2026","TestOperationsGRPC","test_operations","",""
"","51","[HTTP][Postgres] Filter by account id. Completed purchase operation","tests.suites.http","Sun Mar 08 16:39:39 UTC 2026","passed","Sun Mar 08 16:39:39 UTC 2026","TestOperationsHTTP","test_operations","",""
"","513","[gRPC][Kafka] Operation events. Completed purchase operation","tests.suites.grpc","Sun Mar 08 16:39:37 UTC 2026","passed","Sun Mar 08 16:39:38 UTC 2026","TestOperationsGRPC","test_operations","",""
"","30","[gRPC][Postgres] Filter by card id. In progress purchase operation","tests.suites.grpc","Sun Mar 08 16:39:38 UTC 2026","passed","Sun Mar 08 16:39:38 UTC 2026","TestOperationsGRPC","test_operations","",""
"","15","[HTTP][Postgres] Filter by card id. In progress purchase operation","tests.suites.http","Sun Mar 08 16:39:39 UTC 2026","passed","Sun Mar 08 16:39:39 UTC 2026","TestOperationsHTTP","test_operations","",""
